owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,08/29/2014,210000.0,GALAXY MANAGEMENT  LLC,FRISCO,TX,131324.42,,Paid in Full,04/10/2020,Capital Community Bank,UT,531390,Limited Liability Partnership
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,01/29/2025,0.0,SAMPSON VENTURES LLC,Panama City,FL,29673.0,29883.56,Paid in Full,02/26/2021,Trustmark National Bank,MS,811192,Limited  Liability Company(LLC)
AGG PROPERTIES LLC,12610 WESTMINSTER AVE # 2A,7070 PATTERSON DR,GARDEN GROVE,938-691-06,,,AGG PROPERTIES LLC,SAINT PETERSBURG,FL,19200.0,19398.93,Paid in Full,05/16/2020,Lake City Bank,IN,531210,Limited  Liability Company(LLC)
DRT LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,07/29/1997,0.0,DRT LLC,BYRON CENTER,MI,23400.0,23700.03,Paid in Full,04/28/2020,Macatawa Bank,MI,999990,Limited  Liability Company(LLC)
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,08/29/2014,210000.0,"GALAXY MANAGEMENT, LLC",AUBURN,MA,86400.0,87514.92,Paid in Full,04/04/2020,bankHometown,MA,541611,Limited  Liability Company(LLC)
HAN LLC,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,03/17/2026,900000.0,HAN LLC,Leavenworth,KS,12869.0,12948.72,Paid in Full,02/03/2021,Country Club Bank,MO,722511,Limited  Liability Company(LLC)
HAN LLC,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,03/17/2026,900000.0,HAN LLC,Leavenworth,KS,12869.0,12948.72,Paid in Full,02/03/2021,Country Club Bank,MO,722511,Limited  Liability Company(LLC)
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,SD&R LLC,Southlake,TX,69600.0,70251.53,Paid in Full,01/28/2021,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,Paid in Full,01/28/2021,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,Paid in Full,01/28/2021,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,SD&R LLC,Southlake,TX,69600.0,70251.53,Paid in Full,01/28/2021,Origin Bank,LA,236118,Limited  Liability Company(LLC)
J3 HOLDINGS LLC,12555 EUCLID ST APT 51,340 E 1ST ST UNIT 1590,TUSTIN,930-536-37,07/31/2012,115000.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,Paid in Full,04/14/2020,First Western Bank & Trust,ND,531311,Limited  Liability Company(LLC)
J3 HOLDINGS LLC,10371 GARDEN GROVE BLVD APT 32,340 E 1ST ST UNIT 1590,TUSTIN,930-538-25,06/07/2013,0.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,Paid in Full,04/14/2020,First Western Bank & Trust,ND,531311,Limited  Liability Company(LLC)
J3 HOLDINGS LLC,12422 WOODBRIDGE DR,340 E 1ST ST UNIT 1590,TUSTIN,935-722-32,01/11/2013,0.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,Paid in Full,04/14/2020,First Western Bank & Trust,ND,531311,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,Wichita,KS,30900.0,31046.78,Paid in Full,01/30/2021,Community National Bank & Trust,KS,721110,Limited  Liability Company(LLC)
SEA AIRE APARTMENTS LLC,729 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-28,02/18/1998,1950000.0,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,Paid in Full,06/01/2020,First Bank,MO,531390,Limited  Liability Company(LLC)
SEA AIRE APARTMENTS LLC,733 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-31,01/22/2003,,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,Paid in Full,06/01/2020,First Bank,MO,531390,Limited  Liability Company(LLC)
SEA AIRE APARTMENTS LLC,725 UTICA AVE,1180 S BEVERLY DR STE 301,LOS ANGELES,025-191-29,01/22/2003,0.0,SEA AIRE APARTMENTS LLC,LOS ANGELES,CA,9950.0,10060.28,Paid in Full,06/01/2020,First Bank,MO,531390,Limited  Liability Company(LLC)
