BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
"CHURCH DEVELOPMENT FUND, INC.","17701 Cowan, Suite 100",Irvine,CA,1017500.0,Paid in Full,04/10/2020,2244657105,813110,Banc of California,Banc of California
"THE PRIORITY CENTER, ENDING THE GENERATIONAL CYCLE OF TRAUMA",2390 ORANGEWOOD AVE,ANAHEIM,CA,1017250.0,Paid in Full,04/15/2020,1370737210,813319,Banc of California,Banc of California
THE DUNCAN GROUP,3533 EMPLEO ST,SAN LUIS OBISPO,CA,1000000.0,Paid in Full,04/28/2020,9371427209,236116,Banc of California,Banc of California
VISION TO LEARN,12100 WILSHIRE BLVD Suite 1275,LOS ANGELES,CA,996860.0,Paid in Full,04/30/2020,6947887305,813211,Banc of California,Banc of California
"HILLVIEW MENTAL HEALTH CENTER, INC.",12450 VAN NUYS BLVD,PACOIMA,CA,964610.0,Paid in Full,04/27/2020,6149167209,621420,Banc of California,Banc of California
GOOD SAMARITAN SHELTER,"245 E INGER DR, STE 103B",SANTA MARIA,CA,955000.0,Paid in Full,04/28/2020,7673737204,624221,Banc of California,Banc of California
VISION TO LEARN,12100 Wilshire Blvd Ste 1275,Los Angeles,CA,943105.0,Paid in Full,01/22/2021,3391638307,621320,Banc of California,Banc of California
HARBOR SPRINGS CHARTER SCHOOL,27740 JEFFERSON AVENUE,TEMECULA,CA,841750.0,Paid in Full,04/28/2020,7132207206,611110,Banc of California,Banc of California
YESHIVA OF LOS ANGELES GIRLS HIGH SCHOOL,9701 Wishire Blvd #700,BEVERLY HILLS,CA,798000.0,Paid in Full,04/14/2020,7961107110,611110,Banc of California,Banc of California
YESHIVA OF LOS ANGELES GIRLS HIGH SCHOOL,1619 S Robertson Blvd,Los Angeles,CA,798000.0,Paid in Full,03/23/2021,7303658606,611110,Banc of California,Banc of California
MANY MANSIONS,1259 E Thousand Oaks Blvd,Thousand Oaks,CA,766607.5,Paid in Full,01/26/2021,6146068302,531110,Banc of California,Banc of California
"MANY MANSIONS, A CALIFORNIA NONPROFIT CORPORATION",1259 E. THOUSAND OAKS BLVD,THOUSAND OAKS,CA,766607.5,Paid in Full,04/15/2020,9823387103,531110,Banc of California,Banc of California
RIO HONDO EDUCATION CONSORTIUM,7200 Greenleaf Ave Ste 300,Whittier,CA,758505.0,Paid in Full,03/20/2021,4827118605,813211,Banc of California,Banc of California
RIO HONDO EDUCATION CONSORTIUM,7200 GREENLEAF AVE,WHITTIER,CA,758505.0,Paid in Full,04/28/2020,8894457201,813211,Banc of California,Banc of California
CALIFORNIA CENTER FOR THE ARTS ESCONDIDO FOUNDATION,340 N Escondido Blvd,Escondido,CA,753095.0,Paid in Full,02/11/2021,6948098400,711310,Banc of California,Banc of California
"CALIFORNIA CENTER FOR THE ARTS, ESCONDIDO, FOUNDATION",340 N ESCONDIDO BLVD,ESCONDIDO,CA,753000.0,Paid in Full,04/27/2020,4015057206,711310,Banc of California,Banc of California
MEN'S HEALTH FOUNDATION,9220 W SUNSET BLVD Suite 100,Los Angeles,CA,730539.67,Paid in Full,04/12/2020,3700167110,813212,Banc of California,Banc of California
SOAR CHARTER ACADEMY,198 MILL ST,SAN BERNARDINO,CA,722400.0,Paid in Full,04/27/2020,3636137204,611110,Banc of California,Banc of California
ASCENSION EVANGELICAL LUTHERAN CHURCH OF THOUSAND OAKS,"1600 E, HILLCREST DR",THOUSAND OAKS,CA,691000.0,Paid in Full,04/28/2020,8194337210,813110,Banc of California,Banc of California
YESHIVA UNIVERSITY OF LOS ANGELES BOYS HIGH SCHOOL,9760 W PICO BLVD,LOS ANGELES,CA,679000.0,Paid in Full,04/08/2020,8505547005,611110,Banc of California,Banc of California
YESHIVA UNIVERISTY OF LOS ANGELES BOYS HIGH SCHOOL,9760 W Pico Blvd,Los Angeles,CA,679000.0,Paid in Full,03/25/2021,8888448601,611110,Banc of California,Banc of California
ASCENSION EVANGELICAL LUTHERAN CHURCH OF THOUSAND OAKS,1600 E Hillcrest Dr,Thousand Oaks,CA,618215.0,Paid in Full,03/24/2021,8423158608,813110,Banc of California,Banc of California
COMMUNITY CLINIC ASSOCIATION OF LOS ANGELES COUNTY,"445 S. FIGUEROA ST., #2100",LOS ANGELES,CA,603327.0,Paid in Full,04/30/2020,6973997307,813920,Banc of California,Banc of California
